Company Name,Rating,No_of_Reviews,No_of_Followers,Tags,Type,Year Founded,Company Size,HQ Location,Website,Company Type,company size category,Small,Medium,Large
Integreon,,,337 followers ,"Legal, IT Services & Consulting, Private, Foreign MNC, B2B",Private,2000 (24 yrs old),1001-5000,,,Foreign MNC,Medium,False,True,False
Seagate,,,3.6K followers ,"Hardware & Networking, Internet, Software Product, Private, Foreign MNC, B2B",Private,2007 (17 yrs old),10001-50000,,https://www.seagate.com/in/en/,Foreign MNC,Large,False,False,True
GenInvo,4.1,(13 reviews),261 followers ,"Pharmaceutical & Life Sciences, Private, Foreign MNC, B2B",Private,2019 (5 yrs old),51-200,,,Foreign MNC,Small,True,False,False
Samsung India,4.1,(6.6K reviews),9.1K followers ,"Consumer Electronics & Appliances, Public, Foreign MNC, B2C, B2B, Conglomerate",Public,1969 (55 yrs old),5001-10000,,https://www.samsung.com/in/,Foreign MNC,Medium,False,True,False
NCR Corporation,4.1,(1.4K reviews),30K followers ,"IT Services & Consulting, Internet, Hardware & Networking, Private, Foreign MNC, B2B",Private,1884 (140 yrs old),10001-50000,Atlanta,http://www.ncr.com,Foreign MNC,Large,False,False,True
Intelsat,4.2,(11 reviews),0,"Telecom / ISP, Public, Foreign MNC, B2B",Public,1964 (60 yrs old),1001-5000,,,Foreign MNC,Medium,False,True,False
Alshaya Outsourcing Company,4.0,(513 reviews),0,"Retail, Beauty & Wellness, Food Processing, Private, Foreign MNC, B2C",Private,1890 (134 yrs old),1001-5000,,,Foreign MNC,Medium,False,True,False
Redcliffe Labs,4.4,(1.1K reviews),0,"Medical Services / Hospital, Fitness & Wellness, Private, Foreign MNC",Private,2018 (6 yrs old),1001-5000,"Noida, Uttar Pradesh",https://redcliffelabs.com/,Foreign MNC,Medium,False,True,False
Yamaha Motor Co,4.2,(1.3K reviews),11K followers ,"Automobile, Industrial Equipment / Machinery, Private, Foreign MNC, B2C, Conglomerate",Private,2007 (17 yrs old),50001-100000,,https://global.yamaha-motor.com/,Foreign MNC,Large,False,False,True
AppViewX,4.0,(66 reviews),0,"Software Product, Hardware & Networking, Private, Foreign MNC, B2B",Private,2008 (16 yrs old),201-500,,http://www.appviewx.com,Foreign MNC,Medium,False,True,False
Boston Consulting Group,3.8,(325 reviews),14.5K followers ,"Management Consulting, Private, Foreign MNC, B2B",Private,1963 (61 yrs old),10001-50000,"Boston, Massachusetts",https://www.bcg.com/,Foreign MNC,Large,False,False,True
Plintron,,,1.1K followers ,"Telecom / ISP, Software Product, Private, Foreign MNC, B2C, B2B",Private,2008 (16 yrs old),501-1000,,http://www.plintron.com/en/home,Foreign MNC,Medium,False,True,False
Aris Global Software,,,174 followers ,"Software Product, Private, Foreign MNC, B2B",Private,1987 (37 yrs old),1001-5000,,,Foreign MNC,Medium,False,True,False
AMERICAN EXPRESS,4.2,(2.8K reviews),61.4K followers ,"Financial Services, Retail, Private, Foreign MNC, B2C, B2B",Private,1850 (174 yrs old),50001-100000, Gurgaon,https://www.americanexpress.com/en-in/,Foreign MNC,Large,False,False,True
Plasma Softech,3.8,(27 reviews),325 followers ,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Foreign MNC, B2B",Private,2003 (21 yrs old),Nov-50,,https://www.plasmacomp.com/,Foreign MNC,Small,True,False,False
Sony,4.3,(1.1K reviews),15.8K followers ,"Consumer Electronics & Appliances, Public, Foreign MNC, B2C, B2B, Conglomerate",Public,1994 (30 yrs old),1001-5000,,,Foreign MNC,Medium,False,True,False
Bold Technology Systems,,,231 followers ,"Internet, Private, Foreign MNC, B2C, B2B",Private,2004 (20 yrs old),201-500,,,Foreign MNC,Medium,False,True,False
Toshiba Software India,3.6,(167 reviews),1K followers ,"IT Services & Consulting, Software Product, Foreign MNC",,2002 (22 yrs old),1001-5000,"Bangalore Rural, Karnataka",http://www.toshiba-tsip.com/tsip/,Foreign MNC,Medium,False,True,False
Indus Valley Partners,,,507 followers ,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Foreign MNC, B2B",Private,2000 (24 yrs old),201-500,"New York, United States (USA)",https://www.ivp.in/,Foreign MNC,Medium,False,True,False
United Techno Info Systems,4.2,(24 reviews),199 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2004 (20 yrs old),51-200,,,Foreign MNC,Small,True,False,False
McKinsey & Company,4.0,(554 reviews),11.1K followers ,"Management Consulting, Private, Foreign MNC, B2B",Private,1926 (98 yrs old),10001-50000,,https://www.mckinsey.com/careers/careers-beyond-consulting,Foreign MNC,Large,False,False,True
World Resources Institute (WRI),4.5,(15 reviews),238 followers ,"NGO / Social Services / Industry Associations, Private, Foreign MNC, B2B",Private,1982 (42 yrs old),51-200,,http://www.wri.org,Foreign MNC,Small,True,False,False
Target,4.2,(578 reviews),16K followers ,"Retail, Private, Foreign MNC, B2C",Private,1902 (122 yrs old),10001-50000, Bengaluru,https://india.target.com/,Foreign MNC,Large,False,False,True
Pega,3.8,(270 reviews),4.5K followers ,"Software Product, Internet, Hardware & Networking, Emerging Technologies, Private, Foreign MNC, B2B",Private,1983 (41 yrs old),5001-10000,"Cambridge, United States (USA)",http://www.pega.com,Foreign MNC,Medium,False,True,False
Solunus,4.7,(13 reviews),0,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2014 (10 yrs old),51-200,,,Foreign MNC,Small,True,False,False
Kent PLC,4.4,(166 reviews),1.1K followers ,"Oil & Gas, Engineering & Construction, Foreign MNC, B2B",,1919 (105 yrs old),100001+,Dubai,http://kentplc.com,Foreign MNC,Large,False,False,True
LogicMonitor,3.8,(67 reviews),8.1K followers ,"Software Product, Internet, LLP, Foreign MNC, B2B",LLP,2007 (17 yrs old),51-200,,https://www.logicmonitor.com,Foreign MNC,Small,True,False,False
Morningstar,3.9,(927 reviews),1.2K followers ,"Financial Services, Internet, Analytics / KPO / Research, Private, Foreign MNC, B2B",Private,1984 (40 yrs old),5001-10000,,https://www.morningstar.com/en-in/company,Foreign MNC,Medium,False,True,False
Suffescom,,,0,"IT Services & Consulting, Software Product, Private, Foreign MNC, B2B",Private,2013 (11 yrs old),51-200,,https://incsuffescom.com/,Foreign MNC,Small,True,False,False
Mediacle,3.7,(22 reviews),0,"Advertising & Marketing, LLP, Foreign MNC, B2B",LLP,2013 (11 yrs old),51-200,,,Foreign MNC,Small,True,False,False
DGS Technical Services,,,110 followers ,"Design, Private, Foreign MNC, B2B",Private,2004 (20 yrs old),1001-5000,,,Foreign MNC,Medium,False,True,False
Verifone,,,0,"Financial Services, Hardware & Networking, Software Product, Private, Foreign MNC, B2B",Private,1981 (43 yrs old),5001-10000,,,Foreign MNC,Medium,False,True,False
NLB Services,4.0,(582 reviews),0,"Recruitment / Staffing, IT Services & Consulting, Private, Foreign MNC, B2C",Private,2007 (17 yrs old),5001-10000,,http://www.nlbservices.com,Foreign MNC,Medium,False,True,False
Akamai,4.4,(328 reviews),26.8K followers ,"Software Product, Internet, Hardware & Networking, Private, Foreign MNC, B2B, SaaS",Private,1998 (26 yrs old),5001-10000,Cambridge,https://www.akamai.com,Foreign MNC,Medium,False,True,False
LIXIL,4.1,(154 reviews),144 followers ,"Water Treatment / Waste Management, Public, Foreign MNC, B2C, B2B",Public,2007 (17 yrs old),50001-100000,,,Foreign MNC,Large,False,False,True
Mikuni,4.1,(340 reviews),358 followers ,"Auto Components, Automobile, Import & Export, Private, Foreign MNC, B2B",Private,1923 (101 yrs old),5001-10000,,,Foreign MNC,Medium,False,True,False
GreyOrange,,,1.6K followers ,"IT Services & Consulting, Automobile, Internet, Private, Foreign MNC, B2B, SaaS, Soonicorn",Private,2011 (13 yrs old),501-1000,,https://www.greyorange.com,Foreign MNC,Medium,False,True,False
Buhler,3.9,(278 reviews),158 followers ,"Industrial Equipment / Machinery, Private, Foreign MNC, B2B",Private,1860 (164 yrs old),10001-50000,,http://www.buhlergroup.com,Foreign MNC,Large,False,False,True
Saama Technologies,3.7,(285 reviews),836 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,1997 (27 yrs old),1001-5000,"Campbell, CA",http://www.saama.com,Foreign MNC,Medium,False,True,False
Vehere Interactive,,,0,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2006 (18 yrs old),51-200,,https://vehere.com/,Foreign MNC,Small,True,False,False
Automation Anywhere,3.8,(131 reviews),254 followers ,"Industrial Automation, Hardware & Networking, Software Product, Private, Foreign MNC, B2B",Private,2003 (21 yrs old),201-500,,https://www.automationanywhere.com/in/,Foreign MNC,Medium,False,True,False
Techwave Consulting,3.9,(316 reviews),288 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2004 (20 yrs old),1001-5000,,http://techwave.net/,Foreign MNC,Medium,False,True,False
Softtek,3.8,(204 reviews),135 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,1982 (42 yrs old),10001-50000,Monterrey,https://www.softtek.com/,Foreign MNC,Large,False,False,True
Hughes Systique,4.0,(214 reviews),0,"Emerging Technologies, Private, Foreign MNC, B2B",Private,2005 (19 yrs old),1001-5000,"Rockville, United States (USA)",https://hsc.com,Foreign MNC,Medium,False,True,False
ISSQUARED,4.3,(48 reviews),0,"Hardware & Networking, Private, Foreign MNC, B2B",Private,2010 (14 yrs old),51-200,,,Foreign MNC,Small,True,False,False
Armstrong,3.9,(128 reviews),119 followers ,"Financial Services, Manufacturing, Private, Foreign MNC, B2B",Private,1900 (124 yrs old),1001-5000,,,Foreign MNC,Medium,False,True,False
Mindcrest,,,0,"Legal, Private, Foreign MNC, B2B",Private,2001 (23 yrs old),501-1000,,,Foreign MNC,Medium,False,True,False
Hettich,3.8,(352 reviews),1.5K followers ,"Furniture & Furnishing, Manufacturing, Private, Foreign MNC, B2C, B2B",Private,1888 (136 yrs old),5001-10000,,,Foreign MNC,Medium,False,True,False
HTC Global Services,3.6,(1.2K reviews),30.2K followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,1990 (34 yrs old),10001-50000,,http://www.htcinc.com,Foreign MNC,Large,False,False,True
LOreal,4.1,(739 reviews),38.1K followers ,"Beauty & Personal Care, Retail, Private, Foreign MNC, B2C",Private,1991 (33 yrs old),50001-100000,,,Foreign MNC,Large,False,False,True
Calpion Software Technologies,,,198 followers ,"IT Services & Consulting, Software Product, Private, Foreign MNC, B2C",Private,2004 (20 yrs old),201-500,,,Foreign MNC,Medium,False,True,False
Promantra Synergy Solutions,,,0,"Medical Services / Hospital, Private, Foreign MNC, B2C, B2B",Private,2003 (21 yrs old),501-1000,Hyderabad/Secunderabad,https://www.promantra.us/,Foreign MNC,Medium,False,True,False
Intel,4.3,(860 reviews),55.3K followers ,"Electronic Components / Semiconductors, Internet, Hardware & Networking, Public, Foreign MNC, B2B, Conglomerate",Public,1968 (56 yrs old),100001+,,https://www.intel.com/content/www/us/en/company-overview/company-overview.html,Foreign MNC,Large,False,False,True
Amagi Media Labs,,,260 followers ,"Software Product, Internet, Private, Foreign MNC, B2B, SaaS, Unicorn",Private,2008 (16 yrs old),51-200,,,Foreign MNC,Small,True,False,False
SLK Software,,,4.5K followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2000 (24 yrs old),5001-10000,,,Foreign MNC,Medium,False,True,False
Hitachi Energy,4.2,(543 reviews),36.9K followers ,"Power, Electrical Equipment, Foreign MNC, B2B",,2019 (5 yrs old),10001-50000,"Zurich, Switzerland",https://www.hitachienergy.com/,Foreign MNC,Large,False,False,True
EPAM Systems,3.8,(1.1K reviews),31.2K followers ,"IT Services & Consulting, Engineering & Construction, Foreign MNC, B2B",,1993 (31 yrs old),50001-100000,"Telangana, India",https://welcome.epam.in/,Foreign MNC,Large,False,False,True
Gaea Technologies,4.5,(4 reviews),564 followers ,"IT Services & Consulting, Foreign MNC, B2B",,2007 (17 yrs old),,,,Foreign MNC,,False,False,False
iPrism Technologies,,,466 followers ,"IT Services & Consulting, Financial Services, Private, Foreign MNC, B2B",Private,2011 (13 yrs old),51-200,,,Foreign MNC,Small,True,False,False
Idexcel,,,350 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,1998 (26 yrs old),501-1000,,,Foreign MNC,Medium,False,True,False
Marsh McLennan,4.0,(558 reviews),743 followers ,"Management Consulting, Insurance, Private, Foreign MNC, B2C, B2B",Private,1871 (153 yrs old),50001-100000,,,Foreign MNC,Large,False,False,True
ZF India,3.8,(772 reviews),145 followers ,"Auto Components, Automobile, Urban Transport, Public, Foreign MNC, B2B",Public,1915 (109 yrs old),1001-5000,,http://www.zfIndia.com/,Foreign MNC,Medium,False,True,False
Fidelity,4.3,(822 reviews),1K followers ,"Financial Services, Internet, Private, Foreign MNC, B2C",Private,1943 (81 yrs old),50001-100000,,https://www.fidelity.com/,Foreign MNC,Large,False,False,True
PCB Apps,4.7,(8 reviews),118 followers ,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Foreign MNC, B2B",Private,2003 (21 yrs old),Nov-50,,http://www.pcbapps.com,Foreign MNC,Small,True,False,False
The Hackett Group,,,2.5K followers ,"Management Consulting, Private, Foreign MNC, B2B",Private,1997 (27 yrs old),501-1000,"Florida, United States (USA)",https://www.thehackettgroup.com/,Foreign MNC,Medium,False,True,False
FCM Travel,3.6,(295 reviews),0,"Private, Foreign MNC, B2B",Private,1986 (38 yrs old),5001-10000,,,Foreign MNC,Medium,False,True,False
Hitachi Data Systems,3.8,(499 reviews),0,"IT Services & Consulting, Emerging Technologies, Private, Foreign MNC, B2B",Private,2023 (1 yr old),1001-5000,Santa Clara,https://hitachids.com,Foreign MNC,Medium,False,True,False
Centific,3.6,(54 reviews),125 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,,5001-10000,Washington ,https://www.centific.com/,Foreign MNC,Medium,False,True,False
SoftDEL Systems,,,128 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,1999 (25 yrs old),51-200,,http://www.softdel.com,Foreign MNC,Small,True,False,False
Vuclip,3.8,(51 reviews),3.6K followers ,"Internet, Private, Foreign MNC, B2C, B2B",Private,2008 (16 yrs old),201-500,,,Foreign MNC,Medium,False,True,False
Fresh Gravity,4.1,(33 reviews),133 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2015 (9 yrs old),51-200,,,Foreign MNC,Small,True,False,False
Tranter,,,0,"Industrial Equipment / Machinery, Consumer goods, Manufacturing, Private, Foreign MNC, B2B",Private,1932 (92 yrs old),,,,Foreign MNC,,False,False,False
Piramal Pharma Limited,4.0,(717 reviews),1.7K followers ,"Pharmaceutical & Life Sciences, Public, Foreign MNC, B2B",Public,1988 (36 yrs old),1001-5000,Lexington,https://www.piramal.com/businesses/piramal-pharma/,Foreign MNC,Medium,False,True,False
CyberArk,3.7,(15 reviews),107 followers ,"Software Product, Internet, Public, Foreign MNC, B2B",Public,1999 (25 yrs old),1001-5000,,http://www.cyberark.com,Foreign MNC,Medium,False,True,False
smartData Enterprises,,,0,"IT Services & Consulting, Software Product, Private, Foreign MNC, B2B",Private,1999 (25 yrs old),1001-5000,,http://www.smartdatainc.com/,Foreign MNC,Medium,False,True,False
CitiusTech,,,7.5K followers ,"IT Services & Consulting, Private, Foreign MNC, B2B, Unicorn",Private,2005 (19 yrs old),5001-10000,,https://www.citiustech.com/,Foreign MNC,Medium,False,True,False
Foundever,3.8,(1.7K reviews),31.6K followers ,"BPO / Call Centre, Private, Foreign MNC, B2C, B2B, Conglomerate",Private,1985 (39 yrs old),100001+,"Miami, Florida",https://foundever.com/,Foreign MNC,Large,False,False,True
Conde Nast India,3.6,(92 reviews),0,"Printing & Publishing, Private, Foreign MNC",Private,1909 (115 yrs old),5001-10000,"New Delhi, Delhi",https://www.condenast.com/,Foreign MNC,Medium,False,True,False
OutSystems,,,0,"Software Product, Internet, Foreign MNC, B2B, SaaS",,2001 (23 yrs old),,,,Foreign MNC,,False,False,False
TEKsystems,,,2.3K followers ,"IT Services & Consulting, Software Product, Private, Foreign MNC, B2C, B2B",Private,1983 (41 yrs old),10001-50000,"Bangalore, India",http://www.teksystems.com,Foreign MNC,Large,False,False,True
Mikuni,4.1,(340 reviews),358 followers ,"Auto Components, Automobile, Import & Export, Private, Foreign MNC, B2B",Private,1923 (101 yrs old),5001-10000,,,Foreign MNC,Medium,False,True,False
Cushman & Wakefield,4.2,(1.1K reviews),1.7K followers ,"Real Estate, Private, Foreign MNC, B2C, B2B",Private,1997 (27 yrs old),50001-100000,Chicago,https://www.cushmanwakefield.com/,Foreign MNC,Large,False,False,True
Sparity,3.7,(41 reviews),127 followers ,"IT Services & Consulting, Advertising / PR / Events, Private, Foreign MNC, B2B",Private,2010 (14 yrs old),201-500,,,Foreign MNC,Medium,False,True,False
Smaato,,,0,"Advertising & Marketing, Foreign MNC, B2B",,2005 (19 yrs old),,,,Foreign MNC,,False,False,False
InApp,4.7,(56 reviews),108 followers ,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Foreign MNC, B2B",Private,2000 (24 yrs old),201-500,"Thiruvananthapuram, India",,Foreign MNC,Medium,False,True,False
CADS Software India,4.0,(77 reviews),0,"IT Services & Consulting, Hardware & Networking, Private, Foreign MNC, B2B",Private,1974 (50 yrs old),201-500,Dorset ,https://www.cadsindia.com/,Foreign MNC,Medium,False,True,False
Brunel,4.0,(93 reviews),8.1K followers ,"Recruitment / Staffing, Private, Foreign MNC, B2C, B2B",Private,1975 (49 yrs old),10001-50000,,,Foreign MNC,Large,False,False,True
Envestnet,3.9,(198 reviews),105 followers ,"Financial Services, Internet, Public, Foreign MNC, B2B",Public,1999 (25 yrs old),1001-5000,,,Foreign MNC,Medium,False,True,False
Qualcomm,4.0,(825 reviews),40.4K followers ,"Electronic Components / Semiconductors, Hardware & Networking, Private, Foreign MNC, B2B, SaaS",Private,1996 (28 yrs old),10001-50000,,,Foreign MNC,Large,False,False,True
GlobalLogic,3.7,(3.8K reviews),36.6K followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2000 (24 yrs old),10001-50000,,http://www.globallogic.com/,Foreign MNC,Large,False,False,True
NCSI Technologies,,,1.3K followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,,10001-50000,Singapore,https://www.ncs.co/,Foreign MNC,Large,False,False,True
Biesse,4.1,(141 reviews),102 followers ,"Architecture / Interior Design, Industrial Equipment / Machinery, Engineering & Construction, Private, Foreign MNC, B2B",Private,1969 (55 yrs old),501-1000,,,Foreign MNC,Medium,False,True,False
Fidelity International,4.1,(484 reviews),720 followers ,"Investment Banking / Venture Capital / Private Equity, Private, Foreign MNC, B2C",Private,1969 (55 yrs old),5001-10000,"London, England",https://www.fidelity.co.in/,Foreign MNC,Medium,False,True,False
Ferrero India,3.8,(434 reviews),7.9K followers ,"Food Processing, Retail, Private, Foreign MNC, B2C",Private,2004 (20 yrs old),10001-50000,,,Foreign MNC,Large,False,False,True
Yantram BPO Services,,,0,"Animation & VFX, BPO/KPO, Foreign MNC, B2C, B2B",,2004 (20 yrs old),,,,Foreign MNC,,False,False,False
Suyog Computech,,,107 followers ,"IT Services & Consulting, Financial Services, Private, Foreign MNC, B2B",Private,1998 (26 yrs old),201-500,,http://www.suyogindia.com,Foreign MNC,Medium,False,True,False
VIATRIS,4.2,(2.8K reviews),12.8K followers ,"Pharmaceutical & Life Sciences, Foreign MNC, B2C",,2020 (4 yrs old),10001-50000,pennsylvania,https://www.viatris.com/en,Foreign MNC,Large,False,False,True
Teradata,4.0,(329 reviews),26.4K followers ,"Software Product, Internet, Analytics / KPO / Research, Private, Foreign MNC, B2B, SaaS",Private,1979 (45 yrs old),10001-50000,"San Diego, California, India",https://www.teradata.com/,Foreign MNC,Large,False,False,True
MARKS & SPENCER (M&S),4.0,(685 reviews),6.5K followers ,"Retail, Textile & Apparel, Private, Foreign MNC, B2C",Private,1884 (140 yrs old),50001-100000,,http://www.marksandspencer.com,Foreign MNC,Large,False,False,True
Zuora,3.9,(58 reviews),0,"Software Product, Power, Private, Foreign MNC, B2B",Private,2007 (17 yrs old),501-1000,,,Foreign MNC,Medium,False,True,False
Aptean,,,3.9K followers ,"Software Product, Private, Foreign MNC, B2B",Private,1998 (26 yrs old),1001-5000,"Alpharetta, Georgia",http://www.aptean.com,Foreign MNC,Medium,False,True,False
RRD,4.0,(1.3K reviews),573 followers ,"Advertising & Marketing, Private, Foreign MNC, B2B",Private,1864 (160 yrs old),10001-50000,,,Foreign MNC,Large,False,False,True
Turner,4.2,(152 reviews),328 followers ,"Engineering & Construction, Private, Foreign MNC, B2B",Private,1902 (122 yrs old),10001-50000,,,Foreign MNC,Large,False,False,True
Lester Infoservices,3.6,(117 reviews),0,"BPO / Call Centre, Internet, Private, Foreign MNC, B2C, B2B",Private,1981 (43 yrs old),1001-5000,"Westport, Connecticut",https://www.lesterinc.com/,Foreign MNC,Medium,False,True,False
CloudMoyo,4.2,(157 reviews),0,"Software Product, Hardware & Networking, Private, Foreign MNC, B2B",Private,2015 (9 yrs old),201-500,,https://www.cloudmoyo.com/,Foreign MNC,Medium,False,True,False
SmartDocs Business Solutions,,,259 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2009 (15 yrs old),51-200,,https://www.smartdocs.ai,Foreign MNC,Small,True,False,False
Linde Engineering,4.1,(541 reviews),1.9K followers ,"Oil & Gas, Engineering & Construction, Public, Foreign MNC, B2C, B2B",Public,1879 (145 yrs old),201-500,Pullach im Isartal,https://www.the-linde-group.com/en/about_the_linde_group/index.html,Foreign MNC,Medium,False,True,False
VMware,4.5,(1K reviews),10K followers ,"Software Product, Internet, Private, Foreign MNC, B2C, B2B",Private,1998 (26 yrs old),10001-50000,,,Foreign MNC,Large,False,False,True
Springer Nature,3.9,(235 reviews),10.7K followers ,"Printing & Publishing, Emerging Technologies, Private, Foreign MNC",Private,1842 (182 yrs old),10001-50000,"Berlin, Germany",,Foreign MNC,Large,False,False,True
The Smart Cube,3.7,(185 reviews),236 followers ,"Management Consulting, Private, Foreign MNC, B2C, B2B",Private,2003 (21 yrs old),201-500,,http://www.thesmartcube.com,Foreign MNC,Medium,False,True,False
Broadridge,4.0,(1.1K reviews),44.1K followers ,"FinTech / Payments, Internet, Private, Foreign MNC, B2B",Private,2007 (17 yrs old),10001-50000,New York,https://www.broadridge.com/intl/,Foreign MNC,Large,False,False,True
Sconce Solutions,,,113 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2001 (23 yrs old),51-200,,,Foreign MNC,Small,True,False,False
Cadeploy Engineering,,,162 followers ,"Engineering & Construction, Private, Foreign MNC, B2B",Private,2012 (12 yrs old),501-1000,,,Foreign MNC,Medium,False,True,False
Solunus,4.7,(13 reviews),0,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2014 (10 yrs old),51-200,,,Foreign MNC,Small,True,False,False
FMC,4.2,(385 reviews),541 followers ,"Fertilizers / Pesticides / Agro chemicals, Private, Foreign MNC, B2B",Private,2009 (15 yrs old),5001-10000,,http://www.fmc.com/,Foreign MNC,Medium,False,True,False
Invesco,3.9,(319 reviews),24.7K followers ,"Financial Services, Private, Foreign MNC, B2C, B2B, Conglomerate",Private,1935 (89 yrs old),5001-10000,,http://www.invesco.com,Foreign MNC,Medium,False,True,False
MOURI Tech,3.8,(520 reviews),775 followers ,"IT Services & Consulting, Private, Foreign MNC, B2C, B2B",Private,2005 (19 yrs old),1001-5000,"Dallas, United States (USA)",https://www.mouritech.com/,Foreign MNC,Medium,False,True,False
Bristlecone,3.7,(456 reviews),2K followers ,"IT Services & Consulting, Engineering & Construction, Private, Foreign MNC, B2B",Private,1998 (26 yrs old),1001-5000,,,Foreign MNC,Medium,False,True,False
ProcessMAP,3.8,(33 reviews),0,"IT Services & Consulting, Software Product, Private, Foreign MNC, B2B",Private,2000 (24 yrs old),201-500,,https://www.processmap.com/,Foreign MNC,Medium,False,True,False
Cubic Transportation,3.7,(89 reviews),788 followers ,"IT Services & Consulting, Foreign MNC, B2B",,1994 (30 yrs old),5001-10000,"San Diego, CA",https://www.cubic.com/,Foreign MNC,Medium,False,True,False
smartData Enterprises,,,0,"IT Services & Consulting, Software Product, Private, Foreign MNC, B2B",Private,1999 (25 yrs old),1001-5000,,http://www.smartdatainc.com/,Foreign MNC,Medium,False,True,False
Greenlight Planet,4.2,(111 reviews),0,"Power, Internet, Private, Foreign MNC, B2C, B2B, Soonicorn",Private,2008 (16 yrs old),501-1000,,,Foreign MNC,Medium,False,True,False
Saudi Basic Industries Corporation (SABIC),4.2,(343 reviews),994 followers ,"Chemicals, Fertilizers / Pesticides / Agro chemicals, Private, Foreign MNC, B2B",Private,1976 (48 yrs old),10001-50000,,http://www.sabic.com,Foreign MNC,Large,False,False,True
TransSys Solutions,3.7,(37 reviews),0,"IT Services & Consulting, Hardware & Networking, Private, Foreign MNC, B2B",Private,2010 (14 yrs old),201-500,,,Foreign MNC,Medium,False,True,False
Toppan Merrill,4.2,(128 reviews),0,"Financial Services, Foreign MNC",,,,,,Foreign MNC,,False,False,False
Tableau Software,,,174 followers ,"Software Product, Hardware & Networking, LLC, Foreign MNC, B2B",LLC,2003 (21 yrs old),1001-5000,,,Foreign MNC,Medium,False,True,False
Xylem Water Solutions,4.0,(177 reviews),115 followers ,"Water Treatment / Waste Management, Industrial Equipment / Machinery, Private, Foreign MNC, B2B",Private,2011 (13 yrs old),10001-50000,,,Foreign MNC,Large,False,False,True
Numeric Technologies India,4.6,(53 reviews),399 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,1996 (28 yrs old),1001-5000," Warrenville, IL",https://numerictech.com/,Foreign MNC,Medium,False,True,False
KIMOHA TECHNOLOGIES,4.0,(36 reviews),154 followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2018 (6 yrs old),51-200,,,Foreign MNC,Small,True,False,False
Airbus,3.9,(256 reviews),26.2K followers ,"Aviation, Defence & Aerospace, Public, Foreign MNC, B2B",Public,1970 (54 yrs old),10001-50000,"Leiden, Netherlands",https://www.airbus.com/,Foreign MNC,Large,False,False,True
Actalent Services,3.6,(262 reviews),2.5K followers ,"IT Services & Consulting, Industrial Equipment / Machinery, Engineering & Construction, Foreign MNC, B2B",,1983 (41 yrs old),5001-10000,"Hanover, Maryland",https://www.actalentservices.com/,Foreign MNC,Medium,False,True,False
Ecsion,,,0,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,,,,https://www.ecsion.com/,Foreign MNC,,False,False,False
Saipem,4.1,(935 reviews),3.3K followers ,"Industrial Equipment / Machinery, Private, Foreign MNC, B2B, Conglomerate",Private,1957 (67 yrs old),10001-50000,"San Donato Milanese, Italy",https://www.saipem.com/en,Foreign MNC,Large,False,False,True
BASF,4.4,(502 reviews),0,"Chemicals, Private, Foreign MNC, B2C, B2B",Private,1943 (81 yrs old),100001+,Ludwigshafen,http://www.basf.com,Foreign MNC,Large,False,False,True
Zeotap India,4.4,(21 reviews),0,"Software Product, Private, Foreign MNC, B2B",Private,2014 (10 yrs old),51-200,,,Foreign MNC,Small,True,False,False
TSPI Infotech,3.6,(4 reviews),0,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2017 (7 yrs old),,,,Foreign MNC,,False,False,False
Hettich,3.8,(352 reviews),1.5K followers ,"Furniture & Furnishing, Manufacturing, Private, Foreign MNC, B2C, B2B",Private,1888 (136 yrs old),5001-10000,,,Foreign MNC,Medium,False,True,False
Accion Labs,3.7,(368 reviews),2.8K followers ,"IT Services & Consulting, Software Product, Private, Foreign MNC, B2B",Private,2011 (13 yrs old),1001-5000,,https://www.accionlabs.com/,Foreign MNC,Medium,False,True,False
TA Digital,4.0,(175 reviews),1.3K followers ,"IT Services & Consulting, Private, Foreign MNC, B2B",Private,2000 (24 yrs old),1001-5000,"Newark, California, United States (USA)",http://www.tadigital.com,Foreign MNC,Medium,False,True,False
